episode,total_reward
1,-112.38155021834072
2,-149.33851892285298
3,-88.76874090247446
4,-223.52674672489073
5,-215.04939956331873
6,-102.73935589519652
7,-103.18604439592426
8,-96.73171397379912
9,-134.62190684133918
10,-91.38082241630278
11,-126.30049126637554
12,-107.09033842794753
13,-151.68850072780197
14,-106.35362081513838
15,-89.55676855895194
16,-84.7233442503639
17,-84.02447234352256
18,-112.59279475982538
19,-129.94914483260553
20,-66.3311499272198
21,-136.31140829694323
22,-95.86444687045127
23,-102.29066593886462
24,-88.58815502183408
25,-108.94805312954877
26,-115.20915211062592
27,-106.83306040756915
28,-87.62936681222706
29,-88.12127001455605
30,-77.70096433770011
31,-118.62818413391565
32,-92.73935589519648
33,-102.17221615720523
34,-100.56404657933045
35,-93.0456695778748
36,-114.10052765647741
37,-66.19859898107715
38,-165.92130640465794
39,-117.18349708879185
40,-88.3410662299854
41,-125.41202692867537
42,-81.23662663755458
43,-117.01373726346436
44,-114.37900291120818
45,-57.040029112081534
46,-74.47916666666664
47,-75.17703784570594
48,-99.81586608442505
49,-69.25937045123726
50,-42.81350072780204
51,-107.85234716157203
52,-80.33069505094622
53,-77.99763464337704
54,-100.6571142649199
55,-86.79885371179039
56,-78.83879184861719
57,-44.76673944687046
58,-87.59606986899556
59,-123.15483988355166
60,-68.686135371179
61,-97.50836972343521
62,-103.63418850072779
63,-90.46461062590977
64,-88.4987263464337
65,-72.35107350800588
66,-76.78584425036391
67,-78.6960516739446
68,-108.42449053857342
69,-79.4133005822416
70,-83.92066957787486
71,-94.83324235807865
72,-82.03784570596794
73,-53.460880640465774
74,-69.23426128093159
75,-173.74863537117903
76,-107.81395560407564
77,-266.3960152838427
78,-202.22998544395924
79,-50.35607714701605
80,-88.41357350800587
81,-132.37045123726352
82,-107.83215065502183
83,-80.98353347889375
84,-47.3603529839884
85,-88.88910116448328
86,-76.95824235807859
87,-62.43195050946142
88,-90.81359170305679
89,-73.79903566229986
90,-75.12299854439593
91,-68.26291848617176
92,-101.79312227074233
93,-89.85489446870452
94,-131.6290029112082
95,-69.2632823871907
96,-62.73244177583697
97,-95.17412663755465
98,-94.17303493449784
99,-77.58187772925763
100,-78.01683042212517
101,-112.99672489082974
102,-106.13728165938869
103,-163.47771106259088
104,-70.01373726346434
105,-116.67312590975253
106,-47.129275836972326
107,-59.34898107714703
108,-120.00882459970893
109,-54.897561863173195
110,-80.79603347889368
111,-89.1464701601164
112,-88.08033114992719
113,-152.2146106259097
114,-93.33333333333337
115,-42.94768922852981
116,-118.2339883551674
117,-67.15529475982534
118,-85.88755458515286
119,-110.49290393013099
120,-85.49499636098979
121,-93.02929403202327
122,-82.23626273653565
123,-128.14483260553132
124,-99.11244541484717
125,-84.01664847161567
126,-59.13009461426494
127,-69.05003639010191
128,-73.38837336244542
129,-83.49690684133914
130,-44.53029475982532
131,-73.7965793304221
132,-79.66966885007277
133,-117.25072780203784
134,-106.58979257641923
135,-82.64674308588063
136,-92.9189410480349
137,-97.6087154294032
138,-85.0082787481805
139,-110.58497088791852
140,-137.0463064046579
141,-144.28284206695787
142,-84.89628820960694
143,-196.2611899563318
144,-130.6470160116448
145,-53.58260553129544
146,-89.59052037845707
147,-72.13009461426489
148,-148.43531659388643
149,-115.70105531295492
150,-96.41020742358076
