id,depart,arrival,duration,waitingTime,timeLoss,routeLength,ai
2,4.0,59.0,55.0,6.0,32.79,540.14,results/tripinfo_ai.xml
19,38.0,79.0,41.0,0.0,22.46,505.02,results/tripinfo_ai.xml
17,34.0,103.0,69.0,30.0,51.47,378.7,results/tripinfo_ai.xml
4,8.0,107.0,99.0,30.0,67.67,695.69,results/tripinfo_ai.xml
8,16.0,109.0,93.0,38.0,66.65,519.34,results/tripinfo_ai.xml
18,36.0,109.0,73.0,50.0,59.2,155.98,results/tripinfo_ai.xml
41,82.0,130.0,48.0,28.0,41.68,147.2,results/tripinfo_ai.xml
60,120.0,137.0,17.0,0.0,9.67,161.06,results/tripinfo_ai.xml
6,12.0,142.0,130.0,86.0,114.78,430.6,results/tripinfo_ai.xml
26,52.0,147.0,95.0,72.0,84.07,128.41,results/tripinfo_ai.xml
14,28.0,154.0,126.0,68.0,101.08,506.52,results/tripinfo_ai.xml
64,128.0,184.0,56.0,19.0,41.57,277.82,results/tripinfo_ai.xml
5,10.0,186.0,176.0,104.0,141.31,716.45,results/tripinfo_ai.xml
1,2.0,190.0,188.0,111.0,158.66,678.16,results/tripinfo_ai.xml
33,66.0,190.0,124.0,26.0,84.8,964.37,results/tripinfo_ai.xml
49,98.0,190.0,92.0,37.0,65.77,518.58,results/tripinfo_ai.xml
70,140.0,190.0,50.0,0.0,27.99,544.8,results/tripinfo_ai.xml
31,62.0,191.0,129.0,80.0,109.74,515.94,results/tripinfo_ai.xml
13,26.0,192.0,166.0,104.0,141.5,667.07,results/tripinfo_ai.xml
15,30.0,192.0,162.0,84.0,127.6,746.12,results/tripinfo_ai.xml
3,6.0,195.0,189.0,101.0,149.51,952.56,results/tripinfo_ai.xml
44,88.0,195.0,107.0,45.0,81.41,638.79,results/tripinfo_ai.xml
9,18.0,196.0,178.0,119.0,147.95,567.43,results/tripinfo_ai.xml
24,48.0,197.0,149.0,56.0,101.36,912.47,results/tripinfo_ai.xml
46,92.0,214.0,122.0,63.0,94.47,740.57,results/tripinfo_ai.xml
16,32.0,226.0,194.0,116.0,163.78,648.61,results/tripinfo_ai.xml
23,46.0,228.0,182.0,100.0,140.79,922.77,results/tripinfo_ai.xml
28,56.0,229.0,173.0,107.0,146.89,714.81,results/tripinfo_ai.xml
58,116.0,232.0,116.0,54.0,93.74,544.32,results/tripinfo_ai.xml
43,86.0,233.0,147.0,57.0,102.83,914.83,results/tripinfo_ai.xml
47,137.0,234.0,97.0,26.0,65.64,675.1,results/tripinfo_ai.xml
10,20.0,235.0,215.0,135.0,181.51,820.73,results/tripinfo_ai.xml
117,234.0,235.0,1.0,0.0,0.83,0.0,results/tripinfo_ai.xml
53,106.0,236.0,130.0,61.0,107.78,581.43,results/tripinfo_ai.xml
69,138.0,236.0,98.0,57.0,77.98,370.96,results/tripinfo_ai.xml
72,144.0,243.0,99.0,41.0,75.67,500.54,results/tripinfo_ai.xml
73,146.0,246.0,100.0,53.0,81.0,360.84,results/tripinfo_ai.xml
71,142.0,252.0,110.0,52.0,84.05,660.82,results/tripinfo_ai.xml
39,78.0,255.0,177.0,99.0,143.1,802.61,results/tripinfo_ai.xml
113,226.0,255.0,29.0,0.0,13.67,299.81,results/tripinfo_ai.xml
35,70.0,266.0,196.0,114.0,162.63,783.42,results/tripinfo_ai.xml
20,40.0,278.0,238.0,121.0,187.81,1243.7,results/tripinfo_ai.xml
63,126.0,278.0,152.0,76.0,121.31,669.54,results/tripinfo_ai.xml
37,74.0,280.0,206.0,82.0,163.85,1310.45,results/tripinfo_ai.xml
27,54.0,281.0,227.0,144.0,190.19,898.4,results/tripinfo_ai.xml
68,136.0,283.0,147.0,95.0,129.67,446.75,results/tripinfo_ai.xml
7,14.0,284.0,270.0,171.0,226.25,1025.26,results/tripinfo_ai.xml
0,0.0,285.0,285.0,179.0,246.97,1010.93,results/tripinfo_ai.xml
91,182.0,285.0,103.0,40.0,77.48,565.74,results/tripinfo_ai.xml
112,224.0,285.0,61.0,19.0,47.21,346.06,results/tripinfo_ai.xml
12,24.0,286.0,262.0,121.0,208.67,1385.9,results/tripinfo_ai.xml
56,124.0,292.0,168.0,112.0,141.01,562.38,results/tripinfo_ai.xml
85,170.0,293.0,123.0,57.0,80.34,671.98,results/tripinfo_ai.xml
125,250.0,293.0,43.0,13.0,33.07,268.02,results/tripinfo_ai.xml
52,104.0,294.0,190.0,90.0,148.3,1068.91,results/tripinfo_ai.xml
65,130.0,298.0,168.0,98.0,136.14,699.58,results/tripinfo_ai.xml
88,176.0,313.0,137.0,90.0,118.56,410.58,results/tripinfo_ai.xml
141,282.0,315.0,33.0,11.0,27.25,185.98,results/tripinfo_ai.xml
22,44.0,317.0,273.0,204.0,249.88,550.92,results/tripinfo_ai.xml
51,102.0,320.0,218.0,147.0,197.66,597.84,results/tripinfo_ai.xml
89,178.0,321.0,143.0,49.0,96.35,1073.14,results/tripinfo_ai.xml
30,60.0,323.0,263.0,179.0,234.53,868.97,results/tripinfo_ai.xml
32,64.0,325.0,261.0,160.0,215.17,1166.62,results/tripinfo_ai.xml
95,190.0,325.0,135.0,57.0,103.06,856.25,results/tripinfo_ai.xml
21,42.0,326.0,284.0,173.0,234.6,1251.15,results/tripinfo_ai.xml
101,202.0,326.0,124.0,76.0,97.83,464.43,results/tripinfo_ai.xml
126,252.0,326.0,74.0,13.0,45.96,646.4,results/tripinfo_ai.xml
129,258.0,326.0,68.0,14.0,46.02,472.2,results/tripinfo_ai.xml
74,148.0,329.0,181.0,93.0,148.5,824.35,results/tripinfo_ai.xml
87,174.0,329.0,155.0,96.0,126.78,516.75,results/tripinfo_ai.xml
