id,depart,arrival,duration,waitingTime,timeLoss,routeLength
41,41.0,53.0,12.0,0.0,6.26,147.2
19,19.0,68.0,49.0,5.0,30.85,505.02
60,60.0,77.0,17.0,0.0,9.72,161.06
31,31.0,83.0,52.0,7.0,32.57,515.94
8,8.0,91.0,83.0,27.0,57.97,519.34
18,18.0,94.0,76.0,53.0,61.4,155.98
17,17.0,99.0,82.0,37.0,64.6,378.7
117,117.0,118.0,1.0,0.0,0.82,0.0
113,113.0,143.0,30.0,0.0,15.26,299.81
26,26.0,155.0,129.0,106.0,118.03,128.41
10,10.0,156.0,146.0,72.0,112.54,820.73
32,32.0,161.0,129.0,31.0,81.9,1166.62
69,69.0,161.0,92.0,50.0,72.19,370.96
101,101.0,161.0,60.0,13.0,33.93,464.43
2,2.0,164.0,162.0,100.0,139.88,540.14
72,72.0,165.0,93.0,41.0,70.22,500.54
6,6.0,166.0,160.0,119.0,145.04,430.6
14,14.0,169.0,155.0,93.0,131.02,506.52
39,39.0,177.0,138.0,70.0,104.14,802.61
175,175.0,191.0,16.0,0.0,8.71,134.52
163,163.0,193.0,30.0,1.0,20.4,273.12
1,1.0,195.0,194.0,118.0,165.39,678.16
64,64.0,197.0,133.0,95.0,118.13,277.82
106,106.0,198.0,92.0,35.0,71.18,504.33
33,33.0,201.0,168.0,56.0,128.76,964.37
125,125.0,202.0,77.0,47.0,66.87,268.02
15,15.0,203.0,188.0,101.0,153.17,746.12
24,24.0,204.0,180.0,85.0,131.85,912.47
9,9.0,207.0,198.0,127.0,169.11,567.43
165,165.0,207.0,42.0,2.0,22.24,428.99
3,3.0,208.0,205.0,114.0,166.19,952.56
68,68.0,208.0,140.0,87.0,122.23,446.75
70,70.0,210.0,140.0,78.0,116.85,544.8
56,56.0,212.0,156.0,96.0,129.28,562.38
112,112.0,213.0,101.0,52.0,87.62,346.06
85,85.0,214.0,129.0,62.0,85.93,671.98
34,34.0,226.0,192.0,64.0,135.46,1350.95
108,108.0,227.0,119.0,41.0,97.34,577.06
91,91.0,243.0,152.0,83.0,125.57,565.74
16,16.0,248.0,232.0,136.0,201.41,648.61
141,141.0,248.0,107.0,74.0,101.17,185.98
43,43.0,255.0,212.0,110.0,168.56,914.83
5,5.0,257.0,252.0,171.0,217.22,716.45
211,211.0,258.0,47.0,21.0,41.68,150.2
49,49.0,259.0,210.0,142.0,182.74,518.58
54,54.0,260.0,206.0,122.0,174.09,781.29
58,58.0,260.0,202.0,127.0,179.4,544.32
96,96.0,260.0,164.0,68.0,113.0,958.85
47,47.0,261.0,214.0,151.0,183.21,675.1
63,63.0,261.0,198.0,131.0,167.53,669.54
231,231.0,261.0,30.0,6.0,23.08,213.75
126,126.0,263.0,137.0,57.0,108.98,646.4
129,129.0,263.0,134.0,72.0,111.74,472.2
21,21.0,264.0,243.0,130.0,194.3,1251.15
74,74.0,264.0,190.0,108.0,158.06,824.35
53,53.0,267.0,214.0,134.0,191.03,581.43
111,111.0,268.0,157.0,97.0,136.35,412.38
7,7.0,270.0,263.0,145.0,218.57,1025.26
84,84.0,271.0,187.0,91.0,148.03,1008.87
95,95.0,271.0,176.0,81.0,143.98,856.25
73,73.0,272.0,199.0,151.0,181.09,360.84
98,98.0,274.0,176.0,90.0,146.78,853.75
214,214.0,274.0,60.0,31.0,47.13,195.0
196,196.0,277.0,81.0,27.0,59.4,395.81
71,71.0,278.0,207.0,136.0,181.51,660.82
139,139.0,280.0,141.0,81.0,109.32,780.31
115,116.0,281.0,165.0,88.0,134.62,659.49
185,185.0,281.0,96.0,50.0,77.42,394.12
88,88.0,290.0,202.0,158.0,183.16,410.58
149,149.0,293.0,144.0,88.0,125.02,448.09
35,35.0,294.0,259.0,167.0,225.85,783.42
204,204.0,295.0,91.0,56.0,78.85,281.06
83,83.0,298.0,215.0,101.0,167.93,1050.84
87,87.0,298.0,211.0,137.0,182.09,516.75
179,179.0,298.0,119.0,30.0,83.03,867.53
0,0.0,301.0,301.0,186.0,261.82,1010.93
121,121.0,301.0,180.0,106.0,159.8,533.31
156,156.0,301.0,145.0,84.0,129.95,492.17
37,37.0,302.0,265.0,138.0,222.63,1310.45
148,148.0,302.0,154.0,65.0,115.39,948.91
20,20.0,303.0,283.0,157.0,232.33,1243.7
62,62.0,303.0,241.0,164.0,214.23,589.13
