id,depart,arrival,duration,waitingTime,timeLoss,routeLength
2,10.0,146.0,136.0,75.0,113.77,540.14
6,30.0,146.0,116.0,73.0,100.88,430.6
14,70.0,149.0,79.0,24.0,55.43,506.52
19,95.0,171.0,76.0,29.0,57.45,505.02
1,5.0,176.0,171.0,97.0,142.75,678.16
8,40.0,180.0,140.0,83.0,114.43,519.34
15,75.0,182.0,107.0,29.0,71.36,746.12
9,45.0,189.0,144.0,81.0,114.95,567.43
18,90.0,194.0,104.0,83.0,90.07,155.98
4,20.0,197.0,177.0,95.0,145.66,695.69
17,85.0,200.0,115.0,70.0,97.52,378.7
26,130.0,240.0,110.0,87.0,98.45,128.41
10,50.0,241.0,191.0,112.0,158.02,820.73
41,205.0,242.0,37.0,15.0,31.24,147.2
21,105.0,247.0,142.0,37.0,93.27,1251.15
31,155.0,286.0,131.0,76.0,111.51,515.94
33,165.0,287.0,122.0,27.0,83.15,964.37
3,15.0,292.0,277.0,175.0,238.02,952.56
24,120.0,293.0,173.0,78.0,125.66,912.47
5,25.0,297.0,272.0,194.0,237.31,716.45
7,35.0,303.0,268.0,171.0,223.73,1025.26
0,0.0,308.0,308.0,190.0,269.68,1010.93
60,300.0,317.0,17.0,0.0,9.76,161.06
16,80.0,336.0,256.0,174.0,226.42,648.61
32,160.0,350.0,190.0,90.0,143.14,1166.62
11,55.0,355.0,300.0,161.0,247.52,1349.03
39,195.0,366.0,171.0,90.0,136.61,802.61
37,185.0,385.0,200.0,82.0,158.01,1310.45
64,320.0,386.0,66.0,29.0,50.66,277.82
27,135.0,391.0,256.0,166.0,219.44,898.4
20,100.0,394.0,294.0,161.0,242.84,1243.7
12,60.0,398.0,338.0,190.0,283.29,1385.9
54,270.0,398.0,128.0,65.0,97.06,781.29
49,245.0,403.0,158.0,92.0,131.87,518.58
34,170.0,406.0,236.0,114.0,180.69,1350.95
52,260.0,408.0,148.0,47.0,106.07,1068.91
13,65.0,412.0,347.0,252.0,322.38,667.07
67,335.0,418.0,83.0,35.0,57.62,479.14
36,180.0,425.0,245.0,118.0,191.42,1353.01
46,230.0,429.0,199.0,137.0,171.42,740.57
22,110.0,440.0,330.0,247.0,306.59,550.92
43,215.0,446.0,231.0,126.0,186.45,914.83
23,117.0,447.0,330.0,239.0,288.54,922.77
58,290.0,448.0,158.0,88.0,135.21,544.32
53,265.0,453.0,188.0,116.0,165.13,581.43
