id,depart,arrival,duration,waitingTime,timeLoss,routeLength
18,36.0,92.0,56.0,34.0,41.38,155.98
17,34.0,100.0,66.0,26.0,48.54,378.7
8,16.0,117.0,101.0,48.0,75.71,519.34
60,120.0,139.0,19.0,0.0,11.36,161.06
26,52.0,142.0,90.0,65.0,79.07,128.41
10,20.0,143.0,123.0,55.0,89.55,820.73
41,82.0,145.0,63.0,42.0,56.96,147.2
19,38.0,146.0,108.0,61.0,90.28,505.02
2,4.0,151.0,147.0,87.0,125.23,540.14
6,12.0,151.0,139.0,93.0,123.76,430.6
14,28.0,154.0,126.0,67.0,101.26,506.52
1,2.0,183.0,181.0,103.0,151.53,678.16
64,128.0,184.0,56.0,19.0,41.43,277.82
15,30.0,187.0,157.0,79.0,123.06,746.12
33,66.0,189.0,123.0,25.0,84.23,964.37
24,48.0,191.0,143.0,59.0,95.67,912.47
31,62.0,192.0,130.0,82.0,109.86,515.94
3,6.0,194.0,188.0,101.0,149.33,952.56
9,18.0,195.0,177.0,108.0,147.72,567.43
70,140.0,195.0,55.0,3.0,31.74,544.8
5,10.0,199.0,189.0,114.0,154.5,716.45
49,98.0,201.0,103.0,43.0,76.86,518.58
4,8.0,203.0,195.0,107.0,163.77,695.69
67,134.0,215.0,81.0,33.0,57.2,479.14
46,92.0,227.0,135.0,73.0,107.66,740.57
117,234.0,235.0,1.0,0.0,0.89,0.0
43,86.0,253.0,167.0,68.0,123.31,914.83
58,116.0,255.0,139.0,66.0,116.24,544.32
113,226.0,256.0,30.0,0.0,14.89,299.81
32,64.0,259.0,195.0,94.0,147.07,1166.62
101,202.0,259.0,57.0,10.0,30.78,464.43
21,42.0,260.0,218.0,107.0,169.61,1251.15
53,106.0,260.0,154.0,87.0,131.81,581.43
69,138.0,260.0,122.0,79.0,102.07,370.96
73,146.0,269.0,123.0,79.0,104.38,360.84
72,144.0,270.0,126.0,66.0,103.36,500.54
103,206.0,274.0,68.0,6.0,36.03,677.04
71,142.0,277.0,135.0,71.0,108.98,660.82
39,78.0,280.0,202.0,122.0,167.8,802.61
20,40.0,298.0,258.0,135.0,208.31,1243.7
37,74.0,298.0,224.0,102.0,181.83,1310.45
106,212.0,298.0,86.0,31.0,64.49,509.48
27,54.0,301.0,247.0,164.0,210.39,898.4
112,224.0,304.0,80.0,36.0,66.08,346.06
50,100.0,305.0,205.0,82.0,148.16,1154.21
68,136.0,305.0,169.0,114.0,152.31,446.75
12,24.0,307.0,283.0,137.0,228.51,1385.9
85,170.0,312.0,142.0,77.0,99.77,671.98
56,124.0,313.0,189.0,126.0,163.22,562.38
125,250.0,316.0,66.0,39.0,56.05,268.02
65,130.0,318.0,188.0,117.0,156.52,699.58
52,104.0,319.0,215.0,104.0,173.98,1068.91
34,68.0,320.0,252.0,120.0,196.8,1350.95
79,158.0,335.0,177.0,87.0,136.56,1148.14
36,72.0,336.0,264.0,137.0,210.88,1353.01
91,182.0,343.0,161.0,95.0,134.76,565.74
16,32.0,348.0,316.0,232.0,286.23,648.61
22,44.0,350.0,306.0,231.0,281.77,550.92
110,220.0,350.0,130.0,65.0,104.45,637.73
141,282.0,354.0,72.0,35.0,66.07,185.98
51,102.0,355.0,253.0,172.0,232.56,597.84
23,46.0,356.0,310.0,221.0,268.78,922.77
54,108.0,358.0,250.0,163.0,218.45,781.29
44,88.0,359.0,271.0,199.0,245.27,638.79
76,152.0,359.0,207.0,122.0,171.25,971.27
108,216.0,359.0,143.0,62.0,120.43,577.06
96,192.0,360.0,168.0,76.0,117.31,958.85
104,208.0,360.0,152.0,49.0,103.45,1091.1
129,258.0,360.0,102.0,50.0,80.85,472.2
63,126.0,361.0,235.0,155.0,204.29,669.54
89,178.0,362.0,184.0,95.0,138.32,1073.14
126,252.0,362.0,110.0,38.0,82.75,646.4
29,58.0,363.0,305.0,183.0,251.28,1323.02
111,222.0,364.0,142.0,87.0,121.73,412.38
74,148.0,365.0,217.0,127.0,183.77,824.35
7,14.0,366.0,352.0,242.0,307.94,1025.26
98,202.0,368.0,166.0,92.0,137.07,853.75
175,353.0,369.0,16.0,0.0,8.06,134.52
84,168.0,370.0,202.0,95.0,164.5,1008.87
95,190.0,370.0,180.0,87.0,147.73,856.25
13,26.0,372.0,346.0,267.0,321.25,667.07
115,230.0,372.0,142.0,68.0,112.55,659.49
139,278.0,372.0,94.0,37.0,61.73,780.31
87,174.0,375.0,201.0,136.0,172.42,516.75
11,22.0,384.0,362.0,218.0,310.18,1349.03
88,176.0,391.0,215.0,166.0,195.78,410.58
35,70.0,392.0,322.0,227.0,289.24,783.42
149,299.0,396.0,97.0,42.0,77.31,448.09
0,0.0,397.0,397.0,277.0,358.82,1010.93
163,326.0,397.0,71.0,34.0,61.49,273.12
80,160.0,398.0,238.0,140.0,207.63,810.16
