id,depart,arrival,duration,waitingTime,timeLoss,routeLength
6,6.0,51.0,45.0,13.0,29.72,430.6
41,41.0,54.0,13.0,0.0,6.84,147.2
26,26.0,57.0,31.0,7.0,19.87,128.41
2,2.0,59.0,57.0,8.0,34.89,540.14
14,14.0,61.0,47.0,0.0,23.06,506.52
60,60.0,77.0,17.0,0.0,9.54,161.06
19,19.0,91.0,72.0,26.0,54.1,505.02
8,8.0,100.0,92.0,38.0,66.18,519.34
31,31.0,101.0,70.0,26.0,50.55,515.94
17,17.0,102.0,85.0,39.0,66.67,378.7
15,15.0,103.0,88.0,20.0,52.13,746.12
4,4.0,109.0,105.0,33.0,73.71,695.69
18,18.0,117.0,99.0,75.0,84.6,155.98
117,117.0,118.0,1.0,0.0,0.84,0.0
28,28.0,141.0,113.0,59.0,86.53,714.81
113,113.0,143.0,30.0,0.0,14.97,299.81
69,69.0,146.0,77.0,36.0,57.4,370.96
101,101.0,146.0,45.0,3.0,18.88,464.43
72,72.0,154.0,82.0,27.0,58.61,500.54
71,71.0,163.0,92.0,31.0,65.65,660.82
39,39.0,166.0,127.0,60.0,92.67,802.61
64,64.0,184.0,120.0,80.0,104.64,277.82
5,5.0,186.0,181.0,109.0,146.45,716.45
106,106.0,188.0,82.0,31.0,61.36,504.33
33,33.0,190.0,157.0,61.0,118.12,964.37
1,1.0,191.0,190.0,113.0,160.7,678.16
70,70.0,191.0,121.0,61.0,99.08,544.79
175,175.0,191.0,16.0,0.0,7.98,134.52
13,13.0,192.0,179.0,107.0,155.02,667.07
68,68.0,194.0,126.0,74.0,109.65,446.75
112,112.0,194.0,82.0,39.0,68.27,346.06
7,7.0,195.0,188.0,100.0,143.69,1025.26
50,50.0,195.0,145.0,43.0,88.93,1154.21
91,91.0,195.0,104.0,43.0,78.59,565.74
3,3.0,197.0,194.0,104.0,155.52,952.56
24,24.0,198.0,174.0,84.0,125.92,912.47
9,9.0,199.0,190.0,127.0,161.45,567.43
44,44.0,199.0,155.0,81.0,129.92,638.79
125,125.0,200.0,75.0,47.0,65.36,268.02
165,165.0,202.0,37.0,0.0,17.5,428.99
56,56.0,203.0,147.0,89.0,121.06,562.38
85,85.0,203.0,118.0,50.0,75.08,671.98
49,49.0,207.0,158.0,94.0,131.8,518.58
