id,depart,arrival,duration,waitingTime,timeLoss,routeLength
19,29.0,70.0,41.0,0.0,23.49,505.02
31,47.0,84.0,37.0,3.0,16.81,515.94
18,27.0,92.0,65.0,41.0,51.22,155.98
17,26.0,100.0,74.0,33.0,55.2,378.7
60,90.0,107.0,17.0,0.0,9.66,161.06
8,12.0,108.0,96.0,34.0,70.76,519.34
26,39.0,143.0,104.0,80.0,93.13,128.41
10,15.0,144.0,129.0,61.0,95.72,820.73
41,62.0,146.0,84.0,62.0,78.27,147.2
69,104.0,149.0,45.0,4.0,23.85,370.96
32,48.0,151.0,103.0,3.0,55.73,1166.62
2,3.0,152.0,149.0,87.0,126.71,540.14
6,9.0,152.0,143.0,91.0,127.89,430.6
14,21.0,156.0,135.0,73.0,110.99,506.52
72,108.0,161.0,53.0,5.0,30.11,500.54
39,59.0,167.0,108.0,41.0,74.14,802.61
117,176.0,177.0,1.0,0.0,0.86,0.0
1,2.0,183.0,181.0,105.0,151.39,678.16
64,96.0,184.0,88.0,51.0,72.8,277.82
15,23.0,188.0,165.0,89.0,131.05,746.12
33,50.0,189.0,139.0,34.0,98.97,964.37
24,36.0,192.0,156.0,63.0,108.34,912.47
68,102.0,192.0,90.0,44.0,73.31,446.75
3,5.0,194.0,189.0,100.0,150.53,952.56
70,105.0,197.0,92.0,30.0,69.04,544.79
113,170.0,199.0,29.0,0.0,14.51,299.81
5,8.0,200.0,192.0,113.0,156.94,716.45
9,14.0,201.0,187.0,108.0,157.57,567.43
85,128.0,202.0,74.0,12.0,31.45,671.98
49,74.0,203.0,129.0,71.0,101.6,518.58
4,6.0,204.0,198.0,112.0,166.95,695.69
125,188.0,215.0,27.0,0.0,16.69,268.02
65,102.0,216.0,114.0,37.0,81.29,699.58
67,101.0,216.0,115.0,60.0,90.37,479.14
46,73.0,228.0,155.0,94.0,127.7,740.57
141,212.0,247.0,35.0,10.0,29.25,185.98
43,65.0,255.0,190.0,86.0,145.56,914.83
58,87.0,257.0,170.0,99.0,146.85,544.32
101,152.0,260.0,108.0,57.0,81.88,464.43
21,32.0,261.0,229.0,118.0,180.38,1251.15
87,131.0,261.0,130.0,74.0,101.67,516.75
129,194.0,261.0,67.0,14.0,44.35,472.2
74,111.0,264.0,153.0,72.0,121.26,824.35
53,80.0,265.0,185.0,113.0,162.29,581.43
95,143.0,267.0,124.0,48.0,91.86,856.25
111,167.0,267.0,100.0,45.0,78.37,412.38
73,110.0,273.0,163.0,113.0,145.19,360.84
149,224.0,274.0,50.0,3.0,31.0,448.09
139,209.0,278.0,69.0,6.0,36.75,780.31
71,107.0,279.0,172.0,99.0,146.29,660.82
175,263.0,279.0,16.0,0.0,8.71,134.52
103,155.0,280.0,125.0,45.0,95.23,677.04
35,53.0,293.0,240.0,153.0,207.02,783.42
115,173.0,295.0,122.0,47.0,91.04,659.49
163,245.0,296.0,51.0,20.0,41.26,273.12
92,138.0,297.0,159.0,71.0,119.76,772.96
37,56.0,299.0,243.0,121.0,200.5,1310.45
20,30.0,300.0,270.0,130.0,219.62,1243.7
106,159.0,300.0,141.0,75.0,119.28,509.48
62,93.0,303.0,210.0,132.0,183.14,589.13
38,57.0,305.0,248.0,130.0,202.13,1315.08
66,99.0,305.0,206.0,104.0,166.18,909.34
112,168.0,306.0,138.0,96.0,123.83,346.06
50,75.0,307.0,232.0,105.0,174.87,1154.21
165,248.0,308.0,60.0,19.0,40.54,428.99
12,18.0,310.0,292.0,146.0,236.48,1385.9
27,41.0,313.0,272.0,163.0,235.93,898.4
56,97.0,314.0,217.0,155.0,190.06,562.38
131,197.0,322.0,125.0,36.0,84.47,1156.06
34,51.0,326.0,275.0,141.0,218.44,1350.95
16,24.0,349.0,325.0,242.0,294.74,648.61
22,33.0,349.0,316.0,240.0,292.82,550.92
91,137.0,349.0,212.0,140.0,185.59,565.74
97,146.0,349.0,203.0,101.0,158.47,1014.15
110,165.0,350.0,185.0,105.0,159.19,637.73
99,149.0,351.0,202.0,159.0,189.32,343.7
108,162.0,353.0,191.0,109.0,169.6,577.06
51,77.0,355.0,278.0,196.0,257.43,597.84
54,81.0,355.0,274.0,202.0,243.08,781.29
23,35.0,356.0,321.0,233.0,280.03,922.77
44,66.0,356.0,290.0,224.0,264.97,638.79
211,317.0,358.0,41.0,15.0,35.71,150.2
96,144.0,360.0,216.0,117.0,165.05,958.85
29,44.0,362.0,318.0,193.0,264.82,1323.02
89,134.0,362.0,228.0,133.0,181.58,1073.14
126,189.0,362.0,173.0,94.0,145.92,646.4
7,11.0,366.0,355.0,239.0,310.63,1025.26
63,95.0,367.0,272.0,185.0,241.4,669.54
76,114.0,368.0,254.0,155.0,217.53,971.27
84,126.0,370.0,244.0,135.0,205.56,1008.87
13,20.0,371.0,351.0,270.0,326.84,667.07
98,147.0,373.0,226.0,135.0,196.43,853.75
81,122.0,375.0,253.0,150.0,222.18,753.51
75,113.0,379.0,266.0,122.0,202.13,1629.56
196,294.0,379.0,85.0,34.0,62.8,395.81
214,355.0,380.0,25.0,0.0,12.21,195.0
185,278.0,383.0,105.0,58.0,86.8,394.12
11,17.0,384.0,367.0,228.0,315.05,1349.03
204,306.0,393.0,87.0,50.0,75.08,281.06
83,125.0,394.0,269.0,157.0,222.14,1050.84
0,0.0,397.0,397.0,271.0,358.53,1010.93
130,195.0,397.0,202.0,125.0,175.93,682.43
80,120.0,398.0,278.0,168.0,245.63,810.16
156,234.0,399.0,165.0,109.0,149.9,492.17
179,269.0,399.0,130.0,43.0,94.79,867.53
121,182.0,401.0,219.0,147.0,198.77,533.31
127,191.0,401.0,210.0,166.0,190.06,365.67
148,222.0,402.0,180.0,81.0,140.81,948.91
231,347.0,402.0,55.0,33.0,47.97,213.75
94,141.0,405.0,264.0,176.0,234.48,807.89
57,86.0,406.0,320.0,180.0,273.5,1332.4
153,230.0,406.0,176.0,87.0,138.19,859.61
182,273.0,406.0,133.0,83.0,116.88,424.4
206,309.0,406.0,97.0,40.0,75.26,511.78
132,198.0,407.0,209.0,114.0,161.83,881.09
151,227.0,407.0,180.0,95.0,149.84,699.8
107,161.0,409.0,248.0,129.0,197.07,1309.3
242,363.0,416.0,53.0,0.0,21.94,641.51
52,78.0,418.0,340.0,233.0,298.67,1068.91
267,407.0,418.0,11.0,0.0,4.8,123.88
118,177.0,420.0,243.0,150.0,202.74,1020.48
152,228.0,421.0,193.0,68.0,142.44,1427.67
187,281.0,424.0,143.0,59.0,103.2,787.77
198,297.0,424.0,127.0,47.0,97.89,689.22
145,218.0,428.0,210.0,116.0,173.98,954.37
42,63.0,429.0,366.0,189.0,291.2,1967.2
173,260.0,429.0,169.0,82.0,141.61,746.32
259,389.0,431.0,42.0,0.0,16.98,452.68
