id,depart,arrival,duration,waitingTime,timeLoss,routeLength
4,20.0,107.0,87.0,22.0,56.53,695.69
6,30.0,141.0,111.0,70.0,96.08,430.6
2,10.0,149.0,139.0,85.0,116.8,540.14
14,70.0,153.0,83.0,26.0,58.24,506.52
19,95.0,181.0,86.0,36.0,68.18,505.02
5,25.0,186.0,161.0,96.0,125.85,716.45
8,40.0,187.0,147.0,92.0,121.43,519.34
15,75.0,189.0,114.0,37.0,79.39,746.12
1,5.0,191.0,186.0,109.0,156.74,678.16
17,85.0,192.0,107.0,62.0,88.87,378.7
3,15.0,195.0,180.0,92.0,141.63,952.56
18,90.0,200.0,110.0,87.0,95.78,155.98
41,205.0,218.0,13.0,0.0,6.7,147.2
10,50.0,235.0,185.0,110.0,151.71,820.73
26,130.0,237.0,107.0,83.0,95.8,128.41
13,65.0,278.0,213.0,147.0,188.58,667.07
31,155.0,280.0,125.0,72.0,106.35,515.94
33,165.0,281.0,116.0,22.0,76.39,964.37
0,0.0,286.0,286.0,179.0,247.96,1010.93
7,35.0,286.0,251.0,156.0,206.52,1025.26
9,45.0,286.0,241.0,179.0,211.6,567.43
24,120.0,288.0,168.0,81.0,120.38,912.47
16,80.0,316.0,236.0,158.0,206.84,648.61
23,117.0,318.0,201.0,114.0,159.51,922.77
60,300.0,319.0,19.0,0.0,11.33,161.06
28,140.0,320.0,180.0,115.0,153.78,714.81
47,235.0,325.0,90.0,25.0,57.74,675.1
21,105.0,326.0,221.0,93.0,173.03,1251.15
39,195.0,342.0,147.0,72.0,112.38,802.61
64,320.0,364.0,44.0,8.0,28.7,277.82
37,185.0,367.0,182.0,65.0,139.27,1310.45
49,245.0,370.0,125.0,70.0,98.27,518.58
20,100.0,371.0,271.0,153.0,221.3,1243.7
27,135.0,371.0,236.0,150.0,199.1,898.4
44,220.0,373.0,153.0,85.0,128.79,638.79
12,60.0,378.0,318.0,172.0,264.87,1385.9
34,170.0,383.0,213.0,97.0,157.08,1350.95
46,230.0,395.0,165.0,103.0,137.75,740.57
11,55.0,403.0,348.0,217.0,295.68,1349.03
36,180.0,403.0,223.0,105.0,169.64,1353.01
22,110.0,407.0,297.0,223.0,273.59,550.92
